ID,label,relationship
Evelyn Anselevicius,weaver,alum
Hazel Larsen Archer,"photographer, artist",alum
Ruth Asawa,"sculptor, lithographer, textile artist",alum
Harrison Begay,painter,alum
James Bishop,painter,alum
John Chamberlain,"sculptor, painter, patent inventor, photographer, draftsperson, filmmaker",alum
Remy Charlip,"choreographer, children's writer, theatrical director, actor, dancer, director, writer, musician, illustrator, author, designer, visual artist",alum
Robert Creeley,"poet, writer, university teacher",alum
Fielding Dawson,novelist,alum
Elaine de Kooning,"painter, illustrator, sculptor, architectural draftsperson, printmaker, graphic artist, art critic",alum
Robert De Niro Sr.,"painter, poet, sculptor, lithographer",alum
Stephen De Staebler,"sculptor, artist, ceramicist",alum
Ed Dorn,"poet, university teacher, writer, prose writer",alum
Robert Duncan,"poet, writer, painter, playwright, essayist, literary critic",alum
Russell Edson,"novelist, poet",alum
Viola Farber,"choreographer, pianist, dancer",alum
Jorge Fick,painter,alum
Max Finstein,poet,alum
Joseph Fiore,painter,alum
John R. P. French,psychologist,alum
Suzi Gablik,"art critic, painter, collagist, art historian, artist",alum
Lorrie Goulet,"painter, sculptor, artist",alum
Francine du Plessix Gray,"biographer, novelist, journalist, social critic, writer, literary critic",alum
Hella Hammid,photographer,alum
Erik Christian Haugaard,"translator, children's writer, writer",alum
James Leo Herlihy,"novelist, screenwriter, playwright, stage actor",alum
Elizabeth Jennerjahn,"dancer, artist",alum
Ati Gropius Johansen,"graphic designer, artist",alum
Ray Johnson,"painter, illustrator, photographer, collagist, visual artist, performance artist",alum
Karen Karnes,"painter, artist",alum
Leslie George Katz,publisher,alum
Basil King,artist,alum
Irwin Kremen,"psychologist, artist, draftsperson",alum
Jane Mayhall,"writer, poet",alum
Peter Nemenyi,statistician,alum
Kenneth Noland,"painter, university teacher, printmaker, visual artist",alum
Joel Oppenheimer,poet,alum
Arthur Penn,"film director, film producer, screenwriter, theatrical director, television producer, director",alum
Charles Perrow,"sociologist, university teacher, organizational theorist",alum
Clara Porset,"interior designer, designer, architect",alum
Joan Potter Loveless,"weaver, artist",alum
V. V. Rankine,"painter, sculptor",alum
Robert Rauschenberg,"photographer, painter, sculptor, choreographer, printmaker, designer, performance artist, graphic artist, collagist, assemblage artist, architectural draftsperson, jewelry designer, visual artist, artist, scenographer",alum
Dorothea Rockburne,"painter, draftsperson, artist",alum
Michael Rumaker,writer,alum
Harry Seidler,"architect, university teacher",alum
Oli Sihvonen,"painter, draftsperson",alum
Sewell Sillman,"artist, draftsperson, colorist, professor, publisher",alum
Kenneth Snelson,"sculptor, architect, photographer",alum
Raymond P. Spillenger,painter,alum
Deborah Sussman,"graphic designer, designer, artist",alum
Cy Twombly,"painter, sculptor, photographer, draftsperson, printmaker, architectural draftsperson, visual artist, artist",alum
Stan VanDerBeek,"filmmaker, inventor, animator, television producer, director, artist, video artist",alum
Cora Kelley Ward,"painter, artist",alum
Mary Parks Washington,"painter, illustrator, teacher",alum
David Jacques Way,musical instrument maker,alum
Susan Weil,"painter, artist",alum
John Wieners,"poet, writer",alum
Alma Stone Williams,musician,alum
Benjamin Forrest Williams,"painter, curator",alum
Jonathan Williams,"photographer, poet, essayist, publisher, artist",alum
Vera Williams,"writer, illustrator, university teacher, children's writer, artist",alum
Claire Zeisler,"artist, designer, textile artist",alum
Harriet Sohmers Zwerling,"translator, journalist, model",alum
